legs,hair_False,hair_True,feathers_False,feathers_True,eggs_False,eggs_True,milk_False,milk_True,airborne_False,airborne_True,aquatic_False,aquatic_True,predator_False,predator_True,toothed_False,toothed_True,backbone_False,backbone_True,breathes_False,breathes_True,venomous_False,venomous_True,fins_False,fins_True,tail_False,tail_True,domestic_False,domestic_True,catsize_False,catsize_True
0.5,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,False,True,False,True
0.25,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.5,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.75,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False
0.5,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.25,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False
0.5,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True
0.5,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,False,True,False,True
0.5,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.5,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False
0.5,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.5,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False
0.0,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False,True,True,False,True,False
0.0,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True,True,False,False,True
0.0,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False
0.75,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False
0.75,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False
0.0,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
0.25,True,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.5,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False
0.0,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,True,True,False,True,False
0.5,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,False,True,False,True
0.5,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.5,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False
0.5,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.25,True,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False
0.5,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.75,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False
0.0,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True
0.75,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False
0.25,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False
0.75,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False
0.5,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True
0.75,True,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
0.5,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.25,True,False,False,True,False,True,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.625,True,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
0.25,True,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False
0.25,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False
0.25,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False
0.5,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.0,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True,True,False,False,True
0.5,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False
0.25,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
0.5,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.5,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,False,True,True,False
0.0,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False
1.0,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False
0.0,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True,True,False,True,False
0.0,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True,True,False,True,False
0.5,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.5,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False
0.0,True,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False
0.0,True,False,True,False,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
0.5,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.0,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
0.75,True,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
0.5,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False
0.0,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True,True,False,True,False
0.75,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False
0.5,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.5,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,False,True,False,True
0.25,True,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False
0.0,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,True,True,False,True,False
0.5,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.25,True,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False
0.25,True,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False,True
0.25,True,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False
0.0,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True,True,False,False,True
0.25,True,False,False,True,False,True,True,False,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False
