RIVER,LOCATION,ERECTED,PURPOSE,LENGTH,LANES,CLEAR-G,T-OR-D,MATERIAL,SPAN,REL-L,TYPE
M,3,1818.0,HIGHWAY,,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
A,25,1819.0,HIGHWAY,1037.0,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
A,39,1829.0,AQUEDUCT,,1.0,N,THROUGH,WOOD,,S,WOOD
A,29,1837.0,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
M,23,1838.0,HIGHWAY,,2.0,N,THROUGH,WOOD,,S,WOOD
A,27,1840.0,HIGHWAY,990.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,28,1844.0,AQUEDUCT,1000.0,1.0,N,THROUGH,IRON,SHORT,S,SUSPEN
M,3,1846.0,HIGHWAY,1500.0,2.0,N,THROUGH,IRON,SHORT,S,SUSPEN
A,39,1848.0,AQUEDUCT,,1.0,N,DECK,WOOD,,S,WOOD
A,29,1851.0,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,39,1853.0,RR,,2.0,N,DECK,WOOD,,S,WOOD
M,6,1856.0,HIGHWAY,1200.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,33,1856.0,HIGHWAY,,2.0,N,THROUGH,WOOD,,S,WOOD
A,28,1857.0,RR,,2.0,N,THROUGH,WOOD,,S,WOOD
A,25,1859.0,HIGHWAY,1030.0,2.0,N,THROUGH,IRON,MEDIUM,S-F,SUSPEN
M,4,1863.0,RR,1000.0,2.0,N,THROUGH,IRON,MEDIUM,,SIMPLE-T
A,28,1864.0,RR,1200.0,2.0,N,THROUGH,IRON,SHORT,S,SIMPLE-T
A,29,1866.0,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,32,1870.0,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
M,16,1874.0,RR,,2.0,,THROUGH,IRON,,,SIMPLE-T
M,1,1876.0,HIGHWAY,1245.0,,,THROUGH,STEEL,LONG,F,SUSPEN
A,24,1876.0,HIGHWAY,1200.0,4.0,G,THROUGH,WOOD,SHORT,S,WOOD
O,45,1878.0,RR,,2.0,G,,STEEL,,,SIMPLE-T
M,10,1882.0,RR,,2.0,G,,STEEL,,,SIMPLE-T
A,39,1883.0,RR,,2.0,G,THROUGH,STEEL,,F,SIMPLE-T
M,12,1883.0,RR,1150.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
A,31,1884.0,RR,,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
A,26,1884.0,HIGHWAY,1080.0,2.0,G,THROUGH,STEEL,MEDIUM,,SUSPEN
M,3,1884.0,HIGHWAY,1000.0,2.0,G,THROUGH,STEEL,MEDIUM,S,ARCH
A,30,1887.0,HIGHWAY,,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
M,8,1887.0,RR,1161.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
O,41,1888.0,RR,4558.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
M,19,1889.0,HIGHWAY,1120.0,,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
O,45,1890.0,HIGHWAY,,2.0,G,THROUGH,IRON,SHORT,F,SIMPLE-T
A,27,1890.0,HIGHWAY,1000.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
M,17,1891.0,HIGHWAY,,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
M,18,1891.0,RR,1350.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
A,25,1892.0,HIGHWAY,,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
A,27,1892.0,AQUEDUCT,1092.0,1.0,N,THROUGH,WOOD,SHORT,S,WOOD
M,22,1893.0,HIGHWAY,,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
M,11,1894.0,HIGHWAY,,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
M,9,1895.0,HIGHWAY,2367.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
O,48,1896.0,HIGHWAY,,2.0,G,THROUGH,STEEL,LONG,F,SUSPEN
M,7,1896.0,HIGHWAY,1040.0,2.0,G,THROUGH,STEEL,LONG,F,ARCH
A,37,1897.0,RR,4000.0,2.0,G,DECK,STEEL,LONG,F,SIMPLE-T
M,14,1897.0,RR,2264.0,,G,THROUGH,STEEL,,F,SIMPLE-T
M,15,1898.0,RR,2000.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
A,33,1900.0,HIGHWAY,1200.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
A,38,1900.0,HIGHWAY,2000.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
M,13,1901.0,RR,,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
A,34,1902.0,HIGHWAY,1850.0,2.0,G,THROUGH,STEEL,MEDIUM,F,CANTILEV
M,16,1903.0,RR,1300.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
A,35,1903.0,RR,3000.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
M,6,1903.0,RR,1417.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
M,21,1903.0,RR,1154.0,,G,THROUGH,STEEL,LONG,F,SIMPLE-T
M,4,1904.0,RR,1200.0,2.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
A,28,1904.0,RR,965.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
M,2,1904.0,RR,1504.0,,G,THROUGH,STEEL,LONG,F,CANTILEV
Y,,1908.0,HIGHWAY,1240.0,,G,,STEEL,MEDIUM,F,SIMPLE-T
M,23,1909.0,HIGHWAY,,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
A,36,1909.0,HIGHWAY,1730.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
O,49,1910.0,RR,1620.0,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
O,43,1911.0,HIGHWAY,1652.0,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
M,10,1914.0,RR,2210.0,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
O,41,1915.0,RR,2822.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
A,24,1915.0,HIGHWAY,1000.0,4.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
A,37,1918.0,RR,2300.0,2.0,N,DECK,STEEL,LONG,F,CONT-T
A,31,1920.0,RR,2122.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
A,30,1921.0,WALK,,,G,THROUGH,STEEL,,F,SUSPEN
A,29,1923.0,HIGHWAY,885.0,4.0,G,THROUGH,STEEL,MEDIUM,F,ARCH
A,32,1924.0,HIGHWAY,2365.0,4.0,G,THROUGH,STEEL,MEDIUM,S,ARCH
A,27,1926.0,HIGHWAY,860.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
A,26,1926.0,HIGHWAY,884.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
O,46,1927.0,HIGHWAY,1770.0,2.0,G,THROUGH,STEEL,LONG,S-F,CANTILEV
A,38,1927.0,HIGHWAY,1508.0,,G,THROUGH,STEEL,MEDIUM,S,ARCH
M,5,1927.0,HIGHWAY,2663.0,4.0,N,DECK,STEEL,MEDIUM,S-F,CANTILEV
M,1,1927.0,HIGHWAY,1330.0,4.0,G,THROUGH,STEEL,LONG,F,CANTILEV
A,30,1928.0,HIGHWAY,2678.0,4.0,G,DECK,STEEL,MEDIUM,F,ARCH
M,20,1928.0,HIGHWAY,2220.0,2.0,G,DECK,STEEL,MEDIUM,S-F,CANTILEV
A,25,1928.0,HIGHWAY,860.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
M,17,1928.0,HIGHWAY,2250.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
O,40,1931.0,HIGHWAY,1365.0,4.0,G,THROUGH,STEEL,LONG,F,ARCH
O,42,1931.0,HIGHWAY,1450.0,4.0,N,THROUGH,STEEL,LONG,F,ARCH
M,6,1931.0,HIGHWAY,1500.0,4.0,G,THROUGH,STEEL,LONG,F,SUSPEN
M,11,1937.0,HIGHWAY,1690.0,4.0,N,DECK,STEEL,LONG,S-F,CONT-T
A,34,1939.0,HIGHWAY,1800.0,4.0,G,DECK,STEEL,MEDIUM,F,CANTILEV
A,39.5,1945.0,HIGHWAY,1060.0,4.0,G,DECK,STEEL,MEDIUM,S-F,CONT-T
A,39.7,1945.0,RR,840.0,2.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
A,38.5,1945.0,HIGHWAY,1710.0,2.0,N,DECK,STEEL,MEDIUM,S-F,CONT-T
O,48,1945.0,HIGHWAY,2160.0,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
Y,52,1945.0,HIGHWAY,,,G,THROUGH,STEEL,MEDIUM,S,ARCH
Y,51,1945.0,RR,,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
M,23,1950.0,HIGHWAY,1320.0,2.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
M,22,1951.0,HIGHWAY,900.0,4.0,G,THROUGH,STEEL,MEDIUM,F,CONT-T
M,14,1951.0,HIGHWAY,2423.0,4.0,G,DECK,STEEL,LONG,F,CONT-T
M,19,1951.0,HIGHWAY,1031.0,4.0,G,THROUGH,STEEL,LONG,F,CANTILEV
A,37,1955.0,HIGHWAY,2300.0,4.0,N,DECK,STEEL,LONG,F,CONT-T
O,42,1955.0,HIGHWAY,804.0,,G,THROUGH,STEEL,,F,SIMPLE-T
O,47,1959.0,HIGHWAY,1700.0,2.0,G,THROUGH,STEEL,LONG,F,CONT-T
M,1,1959.0,HIGHWAY,1000.0,6.0,G,THROUGH,STEEL,LONG,F,ARCH
A,33,1961.0,HIGHWAY,980.0,4.0,G,DECK,STEEL,MEDIUM,S-F,CONT-T
M,9,1962.0,HIGHWAY,2213.0,4.0,G,DECK,STEEL,LONG,F,CONT-T
A,24,1969.0,HIGHWAY,870.0,6.0,G,THROUGH,STEEL,MEDIUM,F,ARCH
O,44,1975.0,HIGHWAY,3756.0,6.0,G,THROUGH,STEEL,LONG,F,ARCH
M,7,1978.0,HIGHWAY,950.0,6.0,G,THROUGH,STEEL,LONG,F,ARCH
