Age,Sex,Income,Travel_cost,Access_road,Active,Passive,Logged_income,Trips
35.0,0,250.0,48.0003,1,1,0,5.521460918,0
25.0,1,218.75,52.2,0,2,2,5.387929525,0
37.0,0,1875.0,163.5,0,0,0,7.536363938,0
29.0,1,781.25,87.0,0,0,0,6.660895201,0
54.0,0,562.5,21.0,0,0,0,6.332391134,0
34.0,0,218.75,60.0,1,0,1,5.387929525,0
40.0,0,468.75,56.4,1,0,0,6.150069577,0
32.0,1,2187.5,48.0003,0,1,1,7.690514618,0
62.0,1,781.25,56.4,0,2,2,6.660895201,0
36.0,1,937.5,48.0003,0,2,1,6.843216758,0
62.0,0,,48.0,0,1,1,,0
52.0,0,625.0,48.0,0,1,1,6.43775165,0
42.0,1,1250.0,82.2,0,3,4,7.13089883,0
62.0,0,198.019802,48.0003,0,0,0,5.288367036,0
41.0,0,1485.148515,303.6,0,0,0,7.303270056,0
54.0,0,1237.623762,48.0003,1,0,0,7.120948499,0
19.0,1,2351.485149,170.4,0,0,0,7.762802386,0
42.0,1,198.019802,48.0003,1,0,0,5.288367036,0
28.0,1,222.7722772,60.0,0,0,0,5.406150071,0
47.0,0,990.0990099,48.0003,0,0,1,6.897804948,0
30.0,1,742.5742574,48.0003,0,0,1,6.610122876,0
58.0,0,148.5148515,52.2,0,0,0,5.000684963,0
37.0,0,742.5742574,48.0003,0,0,1,6.610122876,0
38.0,0,1237.623762,112.5,0,0,0,7.120948499,0
42.0,0,7.425742574,48.0003,0,0,1,2.00495269,0
62.0,1,247.5247525,48.0003,0,0,0,5.511510587,0
28.0,0,371.2871287,48.0003,0,0,0,5.916975695,0
18.0,0,742.5742574,48.0003,0,1,1,6.610122876,0
39.0,1,1435.643564,197.4,0,2,2,7.269368505,0
39.0,1,1237.623762,48.0003,1,1,1,7.120948499,0
22.0,1,396.039604,48.0003,1,0,0,5.981514216,0
35.0,0,990.0990099,48.0003,1,1,1,6.897804948,0
45.0,0,990.0990099,48.0003,0,0,0,6.897804948,0
30.0,0,990.0990099,48.0003,0,0,0,6.897804948,0
39.0,0,371.2871287,48.0003,0,2,2,5.916975695,0
40.0,0,,52.2,0,0,0,,0
35.0,1,,48.0003,1,0,0,,0
15.0,1,247.5247525,48.0003,0,1,2,5.511510587,0
20.0,1,495.049505,48.0003,1,0,0,6.204657768,0
34.0,1,742.5742574,48.0003,1,0,0,6.610122876,0
26.0,1,742.5742574,48.0003,0,0,0,6.610122876,0
18.0,1,1237.623762,48.0003,0,0,0,7.120948499,0
32.0,1,990.0990099,48.0003,0,0,0,6.897804948,0
28.0,0,618.8118812,60.0,0,0,0,6.427801319,0
25.0,1,1113.861386,45.0,0,0,0,7.015587984,0
54.0,1,1406.25,48.0003,0,1,1,7.248681866,0
47.0,1,2000.0,161.7,0,0,0,7.60090246,0
42.0,1,,48.0003,0,0,1,,0
16.0,0,,161.7,0,1,1,,0
21.0,1,,170.4,0,1,2,,0
