Season,Month,Unemployment_rate,binaryClass
Winter,January,8.0,N
Winter,February,8.2,N
Spring,March,8.0,N
Spring,April,8.75,P
Spring,May,7.25,N
Summer,June,7.25,N
Summer,July,7.75,P
Summer,August,7.5,P
Autumn,September,7.25,P
Autumn,October,7.25,N
Autumn,November,8.0,N
Winter,December,8.5,N
Winter,January,10.25,P
Winter,February,11.25,P
Spring,March,11.0,P
Spring,April,12.5,P
Spring,May,14.0,P
Summer,June,14.0,P
Summer,July,14.25,P
Summer,August,12.75,P
Autumn,September,12.0,P
Autumn,October,12.25,P
Autumn,November,12.5,P
Winter,December,12.25,N
Winter,January,14.0,N
Winter,February,14.25,P
Spring,March,13.25,P
Spring,April,12.25,P
Spring,May,11.5,P
Summer,June,11.0,N
Summer,July,12.0,P
Summer,August,11.0,P
Autumn,September,10.75,P
Autumn,October,11.75,P
Autumn,November,12.0,P
Winter,December,14.5,N
Winter,January,16.0,N
Winter,February,16.25,N
Spring,March,17.0,P
Spring,April,15.5,P
Spring,May,14.25,P
Summer,June,14.25,P
Summer,July,14.75,P
Summer,August,14.5,P
Autumn,September,14.5,P
Autumn,October,15.0,P
Autumn,November,16.5,N
Winter,December,17.25,P
Winter,January,17.0,P
Winter,February,16.5,P
Spring,March,17.0,P
Spring,April,15.5,P
Spring,May,14.75,P
Summer,June,14.5,P
Summer,July,13.25,P
Summer,August,13.5,P
Autumn,September,12.5,P
Autumn,October,12.75,N
Autumn,November,11.75,P
Winter,December,12.0,N
Winter,January,13.0,P
Winter,February,12.75,P
Spring,March,12.5,P
Spring,April,11.25,P
Spring,May,11.25,P
Summer,June,11.25,N
Summer,July,11.25,P
Summer,August,10.5,N
Autumn,September,10.0,P
Autumn,October,10.25,N
Autumn,November,11.0,N
Winter,December,10.75,N
Winter,January,12.5,N
Winter,February,10.5,N
Spring,March,10.75,P
Spring,April,10.5,P
Spring,May,10.0,N
Summer,June,10.5,P
Summer,July,11.0,N
Summer,August,10.0,P
Autumn,September,10.0,P
Autumn,October,9.75,N
Autumn,November,9.0,N
Winter,December,7.75,N
Winter,January,9.5,N
Winter,February,9.5,N
Spring,March,10.0,N
Spring,April,9.25,N
Spring,May,9.5,N
Summer,June,9.5,P
Summer,July,9.25,P
Summer,August,8.0,N
Autumn,September,8.5,N
Autumn,October,8.25,N
Autumn,November,8.25,N
Winter,December,7.75,N
Winter,January,8.0,N
Winter,February,9.0,P
Spring,March,8.5,N
Spring,April,8.75,P
Spring,May,8.25,N
Summer,June,9.0,N
Summer,July,8.75,P
Summer,August,8.5,N
Autumn,September,7.5,N
Autumn,October,7.0,N
Autumn,November,7.5,N
Winter,December,8.5,N
