vendor,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,binaryClass
adviser,125.0,256.0,6000.0,256.0,16,128,N
amdahl,29.0,8000.0,32000.0,32.0,8,32,N
amdahl,29.0,8000.0,32000.0,32.0,8,32,N
amdahl,29.0,8000.0,32000.0,32.0,8,32,N
amdahl,29.0,8000.0,16000.0,32.0,8,16,N
amdahl,26.0,8000.0,32000.0,64.0,8,32,N
amdahl,23.0,16000.0,32000.0,64.0,16,32,N
amdahl,23.0,16000.0,32000.0,64.0,16,32,N
amdahl,23.0,16000.0,64000.0,64.0,16,32,N
amdahl,23.0,32000.0,64000.0,128.0,32,64,N
apollo,400.0,1000.0,3000.0,0.0,1,2,P
apollo,400.0,512.0,3500.0,4.0,1,6,P
basf,60.0,2000.0,8000.0,65.0,1,8,P
basf,50.0,4000.0,16000.0,65.0,1,8,N
bti,350.0,64.0,64.0,0.0,1,4,P
bti,200.0,512.0,16000.0,0.0,4,32,P
burroughs,167.0,524.0,2000.0,8.0,4,15,P
burroughs,143.0,512.0,5000.0,0.0,7,32,P
burroughs,143.0,1000.0,2000.0,0.0,5,16,P
burroughs,110.0,5000.0,5000.0,142.0,8,64,N
burroughs,143.0,1500.0,6300.0,0.0,5,32,P
burroughs,143.0,3100.0,6200.0,0.0,5,20,P
burroughs,143.0,2300.0,6200.0,0.0,6,64,P
burroughs,110.0,3100.0,6200.0,0.0,6,64,P
c.r.d,320.0,128.0,6000.0,0.0,1,12,P
c.r.d,320.0,512.0,2000.0,4.0,1,3,P
c.r.d,320.0,256.0,6000.0,0.0,1,6,P
c.r.d,320.0,256.0,3000.0,4.0,1,3,P
c.r.d,320.0,512.0,5000.0,4.0,1,5,P
c.r.d,320.0,256.0,5000.0,4.0,1,6,P
cdc,25.0,1310.0,2620.0,131.0,12,24,N
cdc,25.0,1310.0,2620.0,131.0,12,24,N
cdc,50.0,2620.0,10480.0,30.0,12,24,P
cdc,50.0,2620.0,10480.0,30.0,12,24,P
cdc,56.0,5240.0,20970.0,30.0,12,24,N
cdc,64.0,5240.0,20970.0,30.0,12,24,N
cdc,50.0,500.0,2000.0,8.0,1,4,P
cdc,50.0,1000.0,4000.0,8.0,1,5,P
cdc,50.0,2000.0,8000.0,8.0,1,5,P
cambex,50.0,1000.0,4000.0,8.0,3,5,P
cambex,50.0,1000.0,8000.0,8.0,3,5,P
cambex,50.0,2000.0,16000.0,8.0,3,5,P
