,name,accuracy,precision,recall,f1,roc_auc
0,dataset_995_mfeat-zernike,0.8583333333333333,0.3893805309734513,0.7333333333333333,0.5086705202312138,0.8027777777777778
1,dataset_875_analcatdata_chlamydia,1.0,1.0,1.0,1.0,1.0
2,dataset_1061_ar4,0.5454545454545454,0.09090909090909091,0.16666666666666666,0.11764705882352941,0.39814814814814814
3,dataset_1020_mfeat-karhunen,0.9116666666666666,0.5402298850574713,0.7833333333333333,0.6394557823129252,0.8546296296296296
4,dataset_966_analcatdata_halloffame,0.5373134328358209,0.9120370370370371,0.5412087912087912,0.6793103448275862,0.5206043956043955
5,dataset_765_analcatdata_apnea2,0.9790209790209791,1.0,0.9758064516129032,0.9877551020408163,0.9879032258064516
6,dataset_1065_kc3,0.4855072463768116,0.09722222222222222,0.5384615384615384,0.16470588235294117,0.5092307692307692
7,dataset_984_analcatdata_draft,0.990909090909091,1.0,0.9,0.9473684210526315,0.95
8,dataset_968_analcatdata_birthday,0.9818181818181818,0.8888888888888888,1.0,0.9411764705882353,0.9893617021276595
9,dataset_1021_page-blocks,0.7496954933008526,0.9508057675996607,0.7605156037991859,0.8450810403317,0.7076387542805453
10,dataset_450_analcatdata_lawsuit,0.975,0.75,1.0,0.8571428571428571,0.9864864864864865
11,dataset_1016_vowel,0.9696969696969697,0.7647058823529411,0.9629629629629629,0.8524590163934426,0.9666666666666666
12,dataset_1049_pc4,0.4452054794520548,0.12301587301587301,0.5849056603773585,0.20327868852459016,0.5054398431756923
13,dataset_867_visualizing_livestock,1.0,1.0,1.0,1.0,1.0
14,dataset_1022_mfeat-pixel,0.95,0.6923076923076923,0.9,0.782608695652174,0.9277777777777778
15,dataset_767_analcatdata_apnea1,0.972027972027972,1.0,0.968,0.983739837398374,0.984
16,dataset_1045_kc1-top5,0.9545454545454546,0.9545454545454546,1.0,0.9767441860465116,0.5
17,dataset_316_yeast_ml8,0.9049586776859504,0.0,0.0,0.0,0.45879888268156427
18,dataset_949_arsenic-female-bladder,0.9821428571428571,1.0,0.9791666666666666,0.9894736842105263,0.9895833333333333
19,dataset_950_arsenic-female-lung,0.9940476190476191,1.0,0.9938271604938271,0.9969040247678018,0.9969135802469136
20,dataset_951_arsenic-male-lung,1.0,1.0,1.0,1.0,1.0
21,dataset_865_analcatdata_neavote,0.06666666666666667,0.06666666666666667,1.0,0.125,0.5
22,dataset_1004_synthetic_control,0.9222222222222223,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.86
23,dataset_978_mfeat-factors,0.9566666666666667,0.7741935483870968,0.8,0.7868852459016393,0.8870370370370371
24,dataset_1000_hypothyroid,0.5618374558303887,0.9242658423493045,0.5722488038277512,0.706855791962175,0.5045152065115768
25,dataset_1064_ar6,0.8387096774193549,0.5,0.6,0.5454545454545454,0.7423076923076923
26,dataset_1059_ar1,0.7837837837837838,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.7303921568627451
27,dataset_312_scene,0.686030428769018,0.34591194968553457,0.8527131782945736,0.49217002237136465,0.7512724140631117
28,dataset_987_collins,0.9933333333333333,0.96,1.0,0.9795918367346939,0.996031746031746
29,dataset_1013_analcatdata_challenger,0.9285714285714286,0.5,1.0,0.6666666666666666,0.9615384615384616
30,dataset_954_spectrometer,0.9875,0.8947368421052632,1.0,0.9444444444444444,0.993006993006993
31,dataset_962_mfeat-morphological,0.9083333333333333,0.5217391304347826,1.0,0.6857142857142857,0.9490740740740741
32,dataset_1039_hiva_agnostic,0.6036249014972419,0.040160642570281124,0.4444444444444444,0.07366482504604052,0.5269607843137255
33,dataset_980_optdigits,0.6654804270462633,0.12595419847328243,0.38372093023255816,0.1896551724137931,0.5406055113514178
34,dataset_1050_pc3,0.5010660980810234,0.08108108108108109,0.375,0.13333333333333333,0.4452197149643705
35,dataset_940_water-treatment,0.7672955974842768,0.3673469387755102,0.75,0.4931506849315068,0.7601851851851852
36,dataset_971_mfeat-fourier,0.89,0.4727272727272727,0.8666666666666667,0.611764705882353,0.8796296296296297
37,dataset_958_segment,0.5584415584415584,0.1755485893416928,0.5656565656565656,0.2679425837320574,0.5614478114478115
38,dataset_1014_analcatdata_dmft,0.5666666666666667,0.2564102564102564,0.6382978723404256,0.36585365853658536,0.5937603351339433
39,dataset_38_sick,0.5786219081272085,0.05263157894736842,0.34782608695652173,0.09142857142857143,0.4707145486522966
40,dataset_311_oil_spill,0.9929078014184397,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
41,dataset_1002_ipums_la_98-small,0.4719501335707925,0.9014634146341464,0.45993031358885017,0.6090969017798286,0.5168849880180538
42,dataset_757_meta,0.9874213836477987,0.9862068965517241,1.0,0.9930555555555556,0.9375
43,dataset_463_backache,0.35185185185185186,0.15,0.8571428571428571,0.2553191489361702,0.5668693009118541
44,dataset_976_JapaneseVowels,0.731682837069254,0.3514018691588785,0.7768595041322314,0.4839124839124839,0.7499067979742994
45,dataset_1023_soybean,0.7658536585365854,0.3387096774193548,0.75,0.4666666666666667,0.759180790960452
46,dataset_764_analcatdata_apnea3,1.0,1.0,1.0,1.0,1.0
47,dataset_1056_mc1,0.7355633802816901,0.008075370121130552,0.3,0.015727391874180863,0.5193262411347518
48,dataset_947_arsenic-male-bladder,1.0,1.0,1.0,1.0,1.0
49,dataset_1018_ipums_la_99-small,0.551243406179352,0.9365293720459149,0.5583735909822867,0.6996216897856242,0.5027162072558492
